,driverId,raceId,round,circuitId,year,date,races_name,quali_position,grid,results_position,positionText,positionOrder,results_points,results_laps,statusId,status,fastestLap,rank,race_ms,results_fastestlaptime,fastestLapSpeed,dstnd_points,dstnd_position,wins,dob_formatted,nationality
319420,20,1080.0,7.0,6.0,2022.0,2022-05-29,Monaco Grand Prix,9,9.0,10,10,10.0,1,64.0,1.0,Finished,54,12,7043801,01:17.6,154.893,5,15,0.0,1987,German
319487,20,1081.0,8.0,73.0,2022.0,2022-06-12,Azerbaijan Grand Prix,9,9.0,6,6,6.0,8,51.0,1.0,Finished,41,12,5730040,01:48.2,199.719,13,14,0.0,1987,German
319563,822,1067.0,16.0,5.0,2021.0,2021-10-10,Turkish Grand Prix,2,1.0,1,1,1.0,26,58.0,1.0,Finished,58,1,5464103,01:30.4,212.5,177,3,1.0,1989,Finnish
319630,822,1069.0,17.0,69.0,2021.0,2021-10-24,United States Grand Prix,4,9.0,6,6,6.0,8,56.0,1.0,Finished,41,6,5756680,01:40.1,198.176,185,3,1.0,1989,Finnish
319696,822,1070.0,18.0,32.0,2021.0,2021-11-07,Mexico City Grand Prix,1,1.0,15,15,15.0,0,69.0,12.0,>+1 Laps,69,1,,01:17.8,199.223,185,3,1.0,1989,Finnish
319727,822,1072.0,21.0,77.0,2021.0,2021-12-05,Saudi Arabian Grand Prix,2,2.0,3,3,3.0,15,50.0,1.0,Finished,47,2,7602649,01:31.4,243.155,218,3,1.0,1989,Finnish
319777,822,1073.0,22.0,24.0,2021.0,2021-12-12,Abu Dhabi Grand Prix,6,6.0,6,6,6.0,8,58.0,1.0,Finished,51,5,5424808,01:26.9,218.871,226,3,1.0,1989,Finnish
319820,822,1074.0,1.0,3.0,2022.0,2022-03-20,Bahrain Grand Prix,6,6.0,6,6,6.0,8,57.0,1.0,Finished,53,7,5869703,01:36.6,201.691,8,6,0.0,1989,Finnish
319858,822,1076.0,3.0,1.0,2022.0,2022-04-10,Australian Grand Prix,12,12.0,8,8,8.0,4,58.0,1.0,Finished,54,5,5334987,01:21.7,232.707,12,10,0.0,1989,Finnish
319883,822,1075.0,2.0,77.0,2022.0,2022-03-27,Saudi Arabian Grand Prix,8,8.0,,R,15.0,0,36.0,141.0,Mechanical,31,14,,01:34.0,236.503,8,9,0.0,1989,Finnish
319913,822,1077.0,4.0,21.0,2022.0,2022-04-24,Emilia Romagna Grand Prix,8,7.0,5,5,5.0,10,63.0,1.0,Finished,43,6,5571167,01:20.8,218.831,24,8,0.0,1989,Finnish
319966,823,881.0,2.0,2.0,2013.0,2013-03-24,Malaysian Grand Prix,22,22.0,15,15,15.0,0,55.0,11.0,+1 Lap,44,20,,01:43.2,193.441,0,19,0.0,1985,Dutch
320024,823,883.0,4.0,3.0,2013.0,2013-04-21,Bahrain Grand Prix,21,20.0,21,21,21.0,0,55.0,12.0,>+1 Laps,49,19,,01:39.3,196.138,0,21,0.0,1985,Dutch
320094,823,885.0,6.0,6.0,2013.0,2013-05-26,Monaco Grand Prix,15,15.0,15,15,15.0,0,78.0,1.0,Finished,50,17,8334646,01:20.5,149.377,0,22,0.0,1985,Dutch
320304,823,896.0,16.0,68.0,2013.0,2013-10-27,Indian Grand Prix,20,20.0,,R,22.0,0,1.0,4.0,Accident,,0,,,,0,21,0.0,1985,Dutch
320324,823,899.0,19.0,18.0,2013.0,2013-11-24,Brazilian Grand Prix,20,20.0,18,18,18.0,0,69.0,12.0,>+1 Laps,51,19,,01:17.6,199.927,0,21,0.0,1985,Dutch
320393,824,880.0,1.0,1.0,2013.0,2013-03-17,Australian Grand Prix,19,19.0,15,15,15.0,0,57.0,11.0,+1 Lap,52,11,,01:30.5,211.055,0,15,0.0,1989,French
320454,824,881.0,2.0,2.0,2013.0,2013-03-24,Malaysian Grand Prix,19,19.0,13,13,13.0,0,55.0,11.0,+1 Lap,47,14,,01:42.4,194.827,0,17,0.0,1989,French
320521,824,883.0,4.0,3.0,2013.0,2013-04-21,Bahrain Grand Prix,20,19.0,19,19,19.0,0,56.0,11.0,+1 Lap,50,14,,01:38.8,197.286,0,19,0.0,1989,French
320586,824,884.0,5.0,4.0,2013.0,2013-05-12,Spanish Grand Prix,20,20.0,18,18,18.0,0,64.0,12.0,>+1 Laps,55,18,,01:28.9,188.537,0,19,0.0,1989,French
320656,824,886.0,7.0,7.0,2013.0,2013-06-09,Canadian Grand Prix,20,19.0,17,17,17.0,0,68.0,12.0,>+1 Laps,68,17,,01:18.9,199.049,0,19,0.0,1989,French
320724,824,890.0,10.0,11.0,2013.0,2013-07-28,Hungarian Grand Prix,21,21.0,16,16,16.0,0,67.0,13.0,>+1 Laps,57,20,,01:28.3,178.715,0,19,0.0,1989,French
320799,824,891.0,11.0,13.0,2013.0,2013-08-25,Belgian Grand Prix,15,15.0,18,18,18.0,0,43.0,11.0,+1 Lap,37,20,,01:54.9,219.457,0,19,0.0,1989,French
320826,824,894.0,14.0,35.0,2013.0,2013-10-06,Korean Grand Prix,21,22.0,16,16,16.0,0,55.0,1.0,Finished,54,20,6261671,01:45.0,192.53,0,19,0.0,1989,French
320855,824,897.0,17.0,24.0,2013.0,2013-11-03,Abu Dhabi Grand Prix,20,21.0,20,20,20.0,0,53.0,12.0,>+1 Laps,52,20,,01:47.6,185.788,0,19,0.0,1989,French
320956,824,900.0,1.0,1.0,2014.0,2014-03-16,Australian Grand Prix,18,18.0,,N,14.0,0,49.0,18.0,>+1 Laps,55,16,,01:35.6,199.621,0,14,0.0,1989,French
321005,824,901.0,2.0,2.0,2014.0,2014-03-30,Malaysian Grand Prix,19,19.0,,R,20.0,0,8.0,23.0,Mechanical,4,21,,01:51.5,179.01,0,20,0.0,1989,French
321013,824,902.0,3.0,3.0,2014.0,2014-04-06,Bahrain Grand Prix,20,19.0,16,16,16.0,0,56.0,11.0,+1 Lap,44,22,,01:42.2,190.684,0,22,0.0,1989,French
321056,830,1003.0,15.0,15.0,2018.0,2018-09-16,Singapore Grand Prix,2,2.0,2,2,2.0,18,61.0,1.0,Finished,54,5,6680572,01:43.3,176.368,148,5,1.0,1997,Dutch
321118,830,1004.0,16.0,71.0,2018.0,2018-09-30,Russian Grand Prix,11,19.0,5,5,5.0,10,53.0,1.0,Finished,45,4,5276197,01:36.3,218.655,158,5,1.0,1997,Dutch
321176,830,1007.0,19.0,32.0,2018.0,2018-10-28,Mexican Grand Prix,2,2.0,1,1,1.0,25,71.0,1.0,Finished,66,2,5908851,01:19.2,195.67,216,5,2.0,1997,Dutch
321209,830,1008.0,20.0,18.0,2018.0,2018-11-11,Brazilian Grand Prix,5,5.0,2,2,2.0,18,71.0,1.0,Finished,61,4,5230535,01:11.6,216.72,234,5,2.0,1997,Dutch
