,driverId,raceId,round,circuitId,year,date,races_name,quali_position,grid,results_position,positionText,positionOrder,results_points,results_laps,statusId,status,fastestLap,rank,race_ms,results_fastestlaptime,fastestLapSpeed,dstnd_points,dstnd_position,wins,dob_formatted,nationality
237899,155,342.0,6.0,6.0,2010.0,2010-05-16,Monaco Grand Prix,16,16.0,,R,19.0,0,26.0,6.0,Mechanical,24,15,,01:18.8,152.637,0,18,0.0,1986,Japanese
237960,155,355.0,19.0,24.0,2010.0,2010-11-14,Abu Dhabi Grand Prix,12,12.0,14,14,14.0,0,55.0,1.0,Finished,53,16,6036395,01:42.7,194.624,32,12,0.0,1986,Japanese
237963,155,847.0,7.0,7.0,2011.0,2011-06-12,Canadian Grand Prix,13,13.0,7,7,7.0,6,70.0,1.0,Finished,70,10,14712807,01:20.2,195.723,25,11,0.0,1986,Japanese
237964,155,866.0,7.0,7.0,2012.0,2012-06-10,Canadian Grand Prix,11,11.0,9,9,9.0,2,70.0,1.0,Finished,61,12,5574018,01:17.5,202.669,21,11,0.0,1986,Japanese
238043,155,867.0,8.0,12.0,2012.0,2012-06-24,European Grand Prix,7,7.0,,R,22.0,0,33.0,4.0,Accident,22,18,,01:45.1,185.649,21,12,0.0,1986,Japanese
238076,155,868.0,9.0,9.0,2012.0,2012-07-08,British Grand Prix,12,17.0,11,11,11.0,0,52.0,1.0,Finished,48,9,5156658,01:35.5,222.12,21,14,0.0,1986,Japanese
238128,155,869.0,10.0,10.0,2012.0,2012-07-22,German Grand Prix,13,12.0,4,4,4.0,12,67.0,1.0,Finished,56,9,5487787,01:19.5,207.163,33,10,0.0,1986,Japanese
238142,155,871.0,12.0,13.0,2012.0,2012-09-02,Belgian Grand Prix,2,2.0,13,13,13.0,0,44.0,1.0,Finished,26,13,5464649,01:55.6,218.121,33,12,0.0,1986,Japanese
238192,155,872.0,13.0,14.0,2012.0,2012-09-09,Italian Grand Prix,9,8.0,9,9,9.0,2,53.0,1.0,Finished,39,14,4825119,01:29.0,234.239,35,12,0.0,1986,Japanese
238331,16,844.0,4.0,5.0,2011.0,2011-05-08,Turkish Grand Prix,12,12.0,13,13,13.0,0,57.0,11.0,+1 Lap,43,16,,01:32.1,208.719,2,13,0.0,1983,German
238381,16,845.0,5.0,4.0,2011.0,2011-05-22,Spanish Grand Prix,17,17.0,13,13,13.0,0,65.0,11.0,+1 Lap,52,10,,01:28.8,188.735,2,13,0.0,1983,German
238403,16,846.0,6.0,6.0,2011.0,2011-05-29,Monaco Grand Prix,15,14.0,7,7,7.0,6,77.0,11.0,+1 Lap,77,13,,01:18.9,152.449,8,12,0.0,1983,German
238615,154,973.0,5.0,4.0,2017.0,2017-05-14,Spanish Grand Prix,14,14.0,10,10,10.0,1,65.0,11.0,+1 Lap,50,17,,01:26.9,192.906,5,12,0.0,1986,French
238689,154,974.0,6.0,6.0,2017.0,2017-05-28,Monaco Grand Prix,8,8.0,8,8,8.0,4,78.0,1.0,Finished,45,18,6302490,01:17.1,155.823,9,12,0.0,1986,French
238761,16,848.0,8.0,12.0,2011.0,2011-06-26,European Grand Prix,10,10.0,9,9,9.0,2,56.0,11.0,+1 Lap,53,10,,01:43.5,188.439,10,12,0.0,1983,German
238781,154,975.0,7.0,7.0,2017.0,2017-06-11,Canadian Grand Prix,14,14.0,10,10,10.0,1,69.0,11.0,+1 Lap,58,15,,01:16.9,204.026,10,12,0.0,1986,French
238879,154,976.0,8.0,73.0,2017.0,2017-06-25,Azerbaijan Grand Prix,17,16.0,13,13,13.0,0,50.0,11.0,+1 Lap,45,14,,01:46.8,202.289,10,14,0.0,1986,French
238929,154,977.0,9.0,70.0,2017.0,2017-07-09,Austrian Grand Prix,7,6.0,6,6,6.0,8,71.0,1.0,Finished,65,10,4981683,01:08.6,226.633,18,13,0.0,1986,French
238978,154,980.0,12.0,13.0,2017.0,2017-08-27,Belgian Grand Prix,12,11.0,7,7,7.0,6,44.0,1.0,Finished,37,8,5114373,01:49.1,231.14,24,12,0.0,1986,French
239024,154,981.0,13.0,14.0,2017.0,2017-09-03,Italian Grand Prix,20,20.0,15,15,15.0,0,52.0,11.0,+1 Lap,48,7,,01:25.0,245.292,24,13,0.0,1986,French
239035,154,982.0,14.0,15.0,2017.0,2017-09-17,Singapore Grand Prix,15,15.0,9,9,9.0,2,58.0,1.0,Finished,54,11,7446826,01:47.6,169.402,26,13,0.0,1986,French
239074,154,983.0,15.0,2.0,2017.0,2017-10-01,Malaysian Grand Prix,16,16.0,13,13,13.0,0,55.0,11.0,+1 Lap,49,8,,01:35.8,208.305,26,13,0.0,1986,French
239120,154,984.0,16.0,22.0,2017.0,2017-10-08,Japanese Grand Prix,16,13.0,9,9,9.0,2,53.0,1.0,Finished,50,14,5341077,01:35.3,219.253,28,13,0.0,1986,French
239170,154,986.0,18.0,32.0,2017.0,2017-10-29,Mexican Grand Prix,19,15.0,15,15,15.0,0,69.0,12.0,>+1 Laps,64,7,,01:20.3,192.848,28,13,0.0,1986,French
239203,154,987.0,19.0,18.0,2017.0,2017-11-12,Brazilian Grand Prix,12,11.0,15,15,15.0,0,69.0,12.0,>+1 Laps,66,12,,01:13.5,210.961,28,13,0.0,1986,French
239215,16,849.0,9.0,9.0,2011.0,2011-07-10,British Grand Prix,11,11.0,11,11,11.0,0,52.0,1.0,Finished,42,9,5400908,01:36.7,219.213,10,12,0.0,1983,German
239265,154,988.0,20.0,24.0,2017.0,2017-11-26,Abu Dhabi Grand Prix,16,16.0,11,11,11.0,0,54.0,11.0,+1 Lap,51,9,,01:42.4,195.187,28,13,0.0,1986,French
239296,154,989.0,1.0,1.0,2018.0,2018-03-25,Australian Grand Prix,7,6.0,,R,16.0,0,24.0,36.0,Mechanical,23,16,,01:28.8,214.974,0,16,0.0,1986,French
239323,154,990.0,2.0,3.0,2018.0,2018-04-08,Bahrain Grand Prix,16,16.0,13,13,13.0,0,56.0,11.0,+1 Lap,44,10,,01:34.7,205.759,0,17,0.0,1986,French
239389,154,991.0,3.0,17.0,2018.0,2018-04-15,Chinese Grand Prix,10,10.0,17,17,17.0,0,56.0,1.0,Finished,51,8,5801676,01:37.4,201.453,0,17,0.0,1986,French
239451,154,992.0,4.0,73.0,2018.0,2018-04-29,Azerbaijan Grand Prix,20,20.0,,R,15.0,0,42.0,3.0,Accident,34,10,,01:46.9,202.196,0,19,0.0,1986,French
239493,154,1004.0,16.0,71.0,2018.0,2018-09-30,Russian Grand Prix,9,9.0,11,11,11.0,0,52.0,11.0,+1 Lap,46,10,,01:38.2,214.29,27,14,0.0,1986,French
239545,154,1007.0,19.0,32.0,2018.0,2018-10-28,Mexican Grand Prix,16,18.0,16,16,16.0,0,68.0,13.0,>+1 Laps,46,9,,01:21.4,190.419,31,13,0.0,1986,French
239619,154,978.0,10.0,9.0,2017.0,2017-07-16,British Grand Prix,10,10.0,13,13,13.0,0,50.0,11.0,+1 Lap,45,7,,01:32.3,229.793,18,13,0.0,1986,French
239675,154,979.0,11.0,11.0,2017.0,2017-07-30,Hungarian Grand Prix,15,14.0,,R,19.0,0,20.0,61.0,Mechanical,19,19,,01:24.7,186.201,18,13,0.0,1986,French
239804,154,985.0,17.0,69.0,2017.0,2017-10-22,United States Grand Prix,14,12.0,14,14,14.0,0,55.0,11.0,+1 Lap,36,17,,01:41.3,196,28,13,0.0,1986,French
239988,154,1008.0,20.0,18.0,2018.0,2018-11-11,Brazilian Grand Prix,9,8.0,8,8,8.0,4,71.0,1.0,Finished,71,12,5280296,01:12.4,214.372,35,13,0.0,1986,French
240124,154,1015.0,6.0,6.0,2019.0,2019-05-26,Monaco Grand Prix,13,13.0,10,10,10.0,1,78.0,1.0,Finished,41,16,6269471,01:16.7,156.531,2,17,0.0,1986,French
240146,16,850.0,10.0,20.0,2011.0,2011-07-24,German Grand Prix,8,8.0,6,6,6.0,8,60.0,1.0,Finished,57,10,5936542,01:36.7,191.745,18,12,0.0,1983,German
240212,154,1016.0,7.0,7.0,2019.0,2019-06-09,Canadian Grand Prix,15,14.0,14,14,14.0,0,69.0,11.0,+1 Lap,60,12,,01:16.2,205.909,2,17,0.0,1986,French
240214,154,1017.0,8.0,34.0,2019.0,2019-06-23,French Grand Prix,17,16.0,20,20,20.0,0,44.0,31.0,Mechanical,42,17,,01:35.7,219.782,2,17,0.0,1986,French
240230,154,1018.0,9.0,70.0,2019.0,2019-06-30,Austrian Grand Prix,11,11.0,16,16,16.0,0,70.0,11.0,+1 Lap,56,12,,01:09.0,225.329,2,17,0.0,1986,French
240311,154,1021.0,12.0,11.0,2019.0,2019-08-04,Hungarian Grand Prix,9,9.0,,R,20.0,0,49.0,34.0,Mechanical,46,18,,01:22.8,190.457,8,17,0.0,1986,French
240360,154,1022.0,13.0,13.0,2019.0,2019-09-01,Belgian Grand Prix,11,9.0,13,13,13.0,0,43.0,11.0,+1 Lap,18,16,,01:49.3,230.744,8,17,0.0,1986,French
240403,154,1023.0,14.0,14.0,2019.0,2019-09-08,Italian Grand Prix,16,13.0,16,16,16.0,0,52.0,11.0,+1 Lap,31,17,,01:25.0,245.393,8,17,0.0,1986,French
240457,154,1024.0,15.0,15.0,2019.0,2019-09-22,Singapore Grand Prix,17,17.0,11,11,11.0,0,61.0,1.0,Finished,54,16,7149103,01:46.3,171.507,8,17,0.0,1986,French
240528,154,1026.0,17.0,22.0,2019.0,2019-10-13,Japanese Grand Prix,10,10.0,13,13,13.0,0,51.0,11.0,+1 Lap,18,16,,01:35.0,220.082,8,17,0.0,1986,French
240596,154,1027.0,18.0,32.0,2019.0,2019-10-27,Mexican Grand Prix,18,18.0,17,17,17.0,0,69.0,12.0,>+1 Laps,68,18,,01:21.6,189.926,8,17,0.0,1986,French
240676,154,1032.0,2.0,70.0,2020.0,2020-07-12,Styrian Grand Prix,20,0.0,13,13,13.0,0,70.0,11.0,+1 Lap,69,12,,01:08.0,228.442,0,19,0.0,1986,French
240702,154,1033.0,3.0,11.0,2020.0,2020-07-19,Hungarian Grand Prix,18,0.0,16,16,16.0,0,69.0,11.0,+1 Lap,61,12,,01:20.2,196.574,0,19,0.0,1986,French
240755,154,1035.0,5.0,9.0,2020.0,2020-08-09,70th Anniversary Grand Prix,14,13.0,16,16,16.0,0,51.0,11.0,+1 Lap,51,14,,01:30.8,233.581,0,21,0.0,1986,French
240827,154,1040.0,10.0,71.0,2020.0,2020-09-27,Russian Grand Prix,16,16.0,17,17,17.0,0,52.0,11.0,+1 Lap,44,15,,01:39.6,211.343,0,21,0.0,1986,French
240955,155,348.0,12.0,11.0,2010.0,2010-08-01,Hungarian Grand Prix,18,23.0,9,9,9.0,2,69.0,11.0,+1 Lap,68,9,,01:24.3,187.128,17,13,0.0,1986,Japanese
240963,155,352.0,16.0,22.0,2010.0,2010-10-10,Japanese Grand Prix,14,14.0,7,7,7.0,6,53.0,1.0,Finished,50,6,5491361,01:34.5,221.251,27,12,0.0,1986,Japanese
240988,155,353.0,17.0,35.0,2010.0,2010-10-24,Korean Grand Prix,12,12.0,8,8,8.0,4,55.0,1.0,Finished,42,14,10178699,01:53.1,178.748,31,12,0.0,1986,Japanese
240989,16,851.0,11.0,11.0,2011.0,2011-07-31,Hungarian Grand Prix,8,8.0,14,14,14.0,0,68.0,12.0,>+1 Laps,66,12,,01:25.6,184.292,18,12,0.0,1983,German
241012,16,852.0,12.0,13.0,2011.0,2011-08-28,Belgian Grand Prix,15,15.0,7,7,7.0,6,44.0,1.0,Finished,33,10,5264606,01:52.6,223.946,24,12,0.0,1983,German
241018,16,853.0,13.0,14.0,2011.0,2011-09-11,Italian Grand Prix,12,12.0,,R,19.0,0,9.0,9.0,Mechanical,8,19,,01:31.5,228.033,24,12,0.0,1983,German
241027,16,854.0,14.0,15.0,2011.0,2011-09-25,Singapore Grand Prix,9,9.0,8,8,8.0,4,60.0,11.0,+1 Lap,45,17,,01:54.6,159.411,28,11,0.0,1983,German
241087,16,855.0,15.0,22.0,2011.0,2011-10-09,Japanese Grand Prix,11,11.0,11,11,11.0,0,53.0,1.0,Finished,43,14,5507874,01:38.1,213.029,28,11,0.0,1983,German
241140,16,856.0,16.0,35.0,2011.0,2011-10-16,Korean Grand Prix,10,10.0,11,11,11.0,0,55.0,1.0,Finished,49,10,5953223,01:42.0,198.149,28,11,0.0,1983,German
241147,155,354.0,18.0,18.0,2010.0,2010-11-07,Brazilian Grand Prix,12,12.0,10,10,10.0,1,70.0,11.0,+1 Lap,65,7,,01:14.7,207.529,32,12,0.0,1986,Japanese
241282,16,857.0,17.0,68.0,2011.0,2011-10-30,Indian Grand Prix,8,8.0,9,9,9.0,2,59.0,11.0,+1 Lap,59,12,,01:29.3,206.632,30,11,0.0,1983,German
241299,155,875.0,16.0,35.0,2012.0,2012-10-14,Korean Grand Prix,13,13.0,,R,22.0,0,16.0,130.0,Mechanical,3,20,,01:47.1,188.799,50,11,0.0,1986,Japanese
241315,155,876.0,17.0,68.0,2012.0,2012-10-28,Indian Grand Prix,17,17.0,14,14,14.0,0,60.0,1.0,Finished,51,8,5557239,01:29.2,206.829,50,11,0.0,1986,Japanese
241383,155,877.0,18.0,24.0,2012.0,2012-11-04,Abu Dhabi Grand Prix,16,15.0,6,6,6.0,8,55.0,1.0,Finished,55,8,6378743,01:45.4,189.658,58,11,0.0,1986,Japanese
241441,155,878.0,19.0,69.0,2012.0,2012-11-18,United States Grand Prix,16,16.0,14,14,14.0,0,55.0,11.0,+1 Lap,55,7,,01:40.3,197.844,58,11,0.0,1986,Japanese
241496,155,879.0,20.0,18.0,2012.0,2012-11-25,Brazilian Grand Prix,15,14.0,9,9,9.0,2,71.0,1.0,Finished,35,7,6353906,01:19.0,196.426,60,12,0.0,1986,Japanese
241528,155,901.0,2.0,2.0,2014.0,2014-03-30,Malaysian Grand Prix,20,20.0,13,13,13.0,0,55.0,11.0,+1 Lap,53,15,,01:47.8,185.19,0,18,0.0,1986,Japanese
241583,155,902.0,3.0,3.0,2014.0,2014-04-06,Bahrain Grand Prix,19,18.0,15,15,15.0,0,57.0,1.0,Finished,17,18,6070643,01:41.2,192.434,0,19,0.0,1986,Japanese
241643,155,903.0,4.0,17.0,2014.0,2014-04-20,Chinese Grand Prix,18,18.0,18,18,18.0,0,53.0,11.0,+1 Lap,48,16,,01:43.3,189.924,0,19,0.0,1986,Japanese
241660,154,1030.0,21.0,24.0,2019.0,2019-12-01,Abu Dhabi Grand Prix,16,15.0,15,15,15.0,0,54.0,11.0,+1 Lap,33,18,,01:43.7,192.873,8,18,0.0,1986,French
241684,154,1031.0,1.0,70.0,2020.0,2020-07-05,Austrian Grand Prix,15,15.0,,R,16.0,0,49.0,23.0,Mechanical,46,17,,01:10.2,221.347,0,16,0.0,1986,French
241779,155,349.0,13.0,13.0,2010.0,2010-08-29,Belgian Grand Prix,19,17.0,8,8,8.0,4,44.0,1.0,Finished,29,11,5360946,01:51.7,225.634,21,12,0.0,1986,Japanese
241830,155,351.0,15.0,15.0,2010.0,2010-09-26,Singapore Grand Prix,10,10.0,,R,21.0,0,30.0,3.0,Accident,22,20,,01:54.0,160.26,21,12,0.0,1986,Japanese
242047,155,904.0,5.0,4.0,2014.0,2014-05-11,Spanish Grand Prix,21,20.0,,R,21.0,0,34.0,23.0,Mechanical,25,21,,01:33.1,180.069,0,19,0.0,1986,Japanese
242053,155,905.0,6.0,6.0,2014.0,2014-05-25,Monaco Grand Prix,21,20.0,13,13,13.0,0,75.0,12.0,>+1 Laps,16,19,,01:22.4,145.878,0,21,0.0,1986,Japanese
242094,155,907.0,8.0,70.0,2014.0,2014-06-22,Austrian Grand Prix,20,19.0,16,16,16.0,0,69.0,12.0,>+1 Laps,40,22,,01:15.3,206.892,0,22,0.0,1986,Japanese
242142,155,918.0,19.0,24.0,2014.0,2014-11-23,Abu Dhabi Grand Prix,17,16.0,,R,18.0,0,42.0,31.0,Mechanical,38,13,,01:47.4,186.113,0,22,0.0,1986,Japanese
242189,16,858.0,18.0,24.0,2011.0,2011-11-13,Abu Dhabi Grand Prix,9,9.0,8,8,8.0,4,55.0,1.0,Finished,53,14,5909008,01:44.7,190.952,34,11,0.0,1983,German
242244,16,859.0,19.0,18.0,2011.0,2011-11-27,Brazilian Grand Prix,8,8.0,6,6,6.0,8,70.0,11.0,+1 Lap,36,8,,01:17.2,201.039,42,9,0.0,1983,German
242314,17,1.0,1.0,1.0,2009.0,2009-03-29,Australian Grand Prix,10,8.0,12,12,12.0,0,57.0,11.0,+1 Lap,38,8,,01:28.5,215.695,0,12,0.0,1976,Australian
242371,17,2.0,2.0,2.0,2009.0,2009-04-05,Malaysian Grand Prix,7,5.0,6,6,6.0,1.5,31.0,1.0,Finished,14,5,4304425,01:37.7,204.304,1.5,9,0.0,1976,Australian
242402,17,3.0,3.0,17.0,2009.0,2009-04-19,Chinese Grand Prix,3,3.0,2,2,2.0,8,56.0,1.0,Finished,42,4,7074455,01:53.0,173.69,9.5,5,0.0,1976,Australian
242458,17,4.0,4.0,3.0,2009.0,2009-04-26,Bahrain Grand Prix,19,18.0,11,11,11.0,0,57.0,1.0,Finished,50,8,5575823,01:35.2,204.73,9.5,6,0.0,1976,Australian
242515,17,5.0,5.0,4.0,2009.0,2009-05-10,Spanish Grand Prix,5,5.0,3,3,3.0,6,66.0,1.0,Finished,18,5,5853126,01:23.1,201.631,15.5,4,0.0,1976,Australian
242581,17,6.0,6.0,6.0,2009.0,2009-05-24,Monaco Grand Prix,8,8.0,5,5,5.0,4,78.0,1.0,Finished,45,3,6060012,01:15.3,159.636,19.5,4,0.0,1976,Australian
242659,17,7.0,7.0,5.0,2009.0,2009-06-07,Turkish Grand Prix,4,4.0,2,2,2.0,8,58.0,1.0,Finished,42,3,5191562,01:27.8,218.847,27.5,4,0.0,1976,Australian
242717,17,8.0,8.0,9.0,2009.0,2009-06-21,British Grand Prix,3,3.0,2,2,2.0,8,60.0,1.0,Finished,57,2,4984516,01:20.9,228.728,35.5,4,0.0,1976,Australian
242856,155,906.0,7.0,7.0,2014.0,2014-06-08,Canadian Grand Prix,20,21.0,,R,18.0,0,23.0,22.0,Mechanical,20,19,,01:23.1,188.856,0,21,0.0,1986,Japanese
242933,155,909.0,10.0,10.0,2014.0,2014-07-20,German Grand Prix,20,19.0,16,16,16.0,0,65.0,12.0,>+1 Laps,50,18,,01:22.9,198.711,0,22,0.0,1986,Japanese
242998,155,910.0,11.0,11.0,2014.0,2014-07-27,Hungarian Grand Prix,18,17.0,,R,18.0,0,26.0,31.0,Mechanical,21,19,,01:32.9,169.791,0,22,0.0,1986,Japanese
243022,155,912.0,13.0,14.0,2014.0,2014-09-07,Italian Grand Prix,19,18.0,17,17,17.0,0,52.0,11.0,+1 Lap,35,21,,01:30.8,229.784,0,22,0.0,1986,Japanese
243074,155,914.0,15.0,22.0,2014.0,2014-10-05,Japanese Grand Prix,21,19.0,19,19,19.0,0,43.0,11.0,+1 Lap,29,18,,01:55.6,180.776,0,22,0.0,1986,Japanese
243117,155,915.0,16.0,71.0,2014.0,2014-10-12,Russian Grand Prix,19,19.0,,R,20.0,0,21.0,23.0,Mechanical,17,20,,01:47.4,196.009,0,22,0.0,1986,Japanese
243165,17,9.0,9.0,20.0,2009.0,2009-07-12,German Grand Prix,1,1.0,1,1,1.0,10,60.0,1.0,Finished,37,3,5803310,01:34.0,197.151,45.5,3,1.0,1976,Australian
243225,17,10.0,10.0,11.0,2009.0,2009-07-26,Hungarian Grand Prix,3,3.0,3,3,3.0,6,70.0,1.0,Finished,65,1,5920762,01:21.9,192.498,51.5,2,1.0,1976,Australian
243295,17,20.0,3.0,3.0,2008.0,2008-04-06,Bahrain Grand Prix,11,11.0,7,7,7.0,2,57.0,1.0,Finished,51,8,5512443,01:34.3,206.597,4,10,0.0,1976,Australian
243352,17,21.0,4.0,4.0,2008.0,2008-04-27,Spanish Grand Prix,7,7.0,5,5,5.0,4,66.0,1.0,Finished,19,8,5934989,01:22.6,202.969,8,8,0.0,1976,Australian
243401,17,26.0,9.0,9.0,2008.0,2008-07-06,British Grand Prix,2,2.0,10,10,10.0,0,59.0,11.0,+1 Lap,17,4,,01:33.0,199.109,18,8,0.0,1976,Australian
243450,17,28.0,11.0,11.0,2008.0,2008-08-03,Hungarian Grand Prix,8,8.0,9,9,9.0,0,70.0,1.0,Finished,67,10,5905901,01:22.1,192.043,18,9,0.0,1976,Australian
243474,17,29.0,12.0,12.0,2008.0,2008-08-24,European Grand Prix,14,14.0,12,12,12.0,0,56.0,11.0,+1 Lap,27,14,,01:40.3,194.57,18,9,0.0,1976,Australian
243530,17,30.0,13.0,13.0,2008.0,2008-09-07,Belgian Grand Prix,7,7.0,8,8,8.0,1,44.0,1.0,Finished,34,10,5022170,01:49.5,230.236,19,9,0.0,1976,Australian
243542,807,337.0,1.0,3.0,2010.0,2010-03-14,Bahrain Grand Prix,13,13.0,14,14,14.0,0,48.0,11.0,+1 Lap,34,15,,02:01.4,186.789,0,14,0.0,1987,German
243600,807,339.0,3.0,2.0,2010.0,2010-04-04,Malaysian Grand Prix,5,5.0,10,10,10.0,1,56.0,1.0,Finished,51,11,5701811,01:39.1,201.311,1,14,0.0,1987,German
243661,807,340.0,4.0,17.0,2010.0,2010-04-18,Chinese Grand Prix,16,16.0,15,15,15.0,0,55.0,11.0,+1 Lap,13,12,,01:44.5,187.697,1,15,0.0,1987,German
243723,17,22.0,5.0,5.0,2008.0,2008-05-11,Turkish Grand Prix,6,6.0,7,7,7.0,2,58.0,1.0,Finished,14,7,5273680,01:27.6,219.294,10,7,0.0,1976,Australian
243781,17,23.0,6.0,6.0,2008.0,2008-05-25,Monaco Grand Prix,9,9.0,4,4,4.0,5,76.0,1.0,Finished,74,8,7262037,01:19.0,152.133,15,7,0.0,1976,Australian
243857,17,24.0,7.0,7.0,2008.0,2008-06-08,Canadian Grand Prix,10,10.0,12,12,12.0,0,70.0,1.0,Finished,51,8,5855526,01:18.2,200.759,15,7,0.0,1976,Australian
243927,17,25.0,8.0,8.0,2008.0,2008-06-22,French Grand Prix,8,6.0,6,6,6.0,3,70.0,1.0,Finished,22,6,5550549,01:17.5,204.879,18,8,0.0,1976,Australian
244007,17,27.0,10.0,10.0,2008.0,2008-07-20,German Grand Prix,8,8.0,,R,19.0,0,40.0,5.0,Mechanical,20,14,,01:17.2,213.278,18,8,0.0,1976,Australian
244054,154,1029.0,20.0,18.0,2019.0,2019-11-17,Brazilian Grand Prix,8,7.0,13,13,13.0,0,71.0,1.0,Finished,29,18,5608925,01:13.6,210.711,8,18,0.0,1986,French
244136,807,341.0,5.0,4.0,2010.0,2010-05-09,Spanish Grand Prix,13,13.0,16,16,16.0,0,64.0,12.0,>+1 Laps,63,17,,01:26.9,192.924,1,15,0.0,1987,German
244174,17,31.0,14.0,14.0,2008.0,2008-09-14,Italian Grand Prix,3,3.0,8,8,8.0,1,53.0,1.0,Finished,52,3,5239542,01:29.7,232.544,20,10,0.0,1976,Australian
244212,807,343.0,7.0,5.0,2010.0,2010-05-30,Turkish Grand Prix,17,17.0,17,17,17.0,0,57.0,11.0,+1 Lap,51,15,,01:30.6,212.059,1,17,0.0,1987,German
244294,807,344.0,8.0,7.0,2010.0,2010-06-13,Canadian Grand Prix,12,12.0,13,13,13.0,0,69.0,11.0,+1 Lap,64,9,,01:18.9,198.95,1,17,0.0,1987,German
244368,807,345.0,9.0,12.0,2010.0,2010-06-27,European Grand Prix,8,8.0,,R,22.0,0,49.0,43.0,Mechanical,46,17,,01:40.8,193.554,1,17,0.0,1987,German
244406,807,346.0,10.0,9.0,2010.0,2010-07-11,British Grand Prix,13,13.0,10,10,10.0,1,52.0,1.0,Finished,48,13,5120212,01:34.0,225.639,2,17,0.0,1987,German
244421,807,347.0,11.0,10.0,2010.0,2010-07-25,German Grand Prix,10,10.0,13,13,13.0,0,66.0,11.0,+1 Lap,61,11,,01:16.8,214.305,2,17,0.0,1987,German
244456,807,349.0,13.0,13.0,2010.0,2010-08-29,Belgian Grand Prix,9,9.0,14,14,14.0,0,43.0,11.0,+1 Lap,28,12,,01:51.9,225.402,10,15,0.0,1987,German
244498,17,32.0,15.0,15.0,2008.0,2008-09-28,Singapore Grand Prix,13,13.0,,R,18.0,0,29.0,7.0,Mechanical,13,17,,01:49.2,167.069,20,11,0.0,1976,Australian
244527,17,33.0,16.0,16.0,2008.0,2008-10-12,Japanese Grand Prix,13,13.0,8,8,8.0,1,67.0,1.0,Finished,30,13,5472703,01:19.8,205.798,21,10,0.0,1976,Australian
244594,17,34.0,17.0,17.0,2008.0,2008-10-19,Chinese Grand Prix,6,16.0,14,14,14.0,0,56.0,1.0,Finished,10,13,5609825,01:37.7,200.896,21,11,0.0,1976,Australian
244602,807,353.0,17.0,35.0,2010.0,2010-10-24,Korean Grand Prix,11,11.0,10,10,10.0,1,55.0,1.0,Finished,43,10,10181661,01:52.0,180.511,18,15,0.0,1987,German
244638,807,354.0,18.0,18.0,2010.0,2010-11-07,Brazilian Grand Prix,1,1.0,8,8,8.0,4,70.0,11.0,+1 Lap,70,8,,01:15.0,206.873,22,13,0.0,1987,German
244710,807,355.0,19.0,24.0,2010.0,2010-11-14,Abu Dhabi Grand Prix,15,15.0,16,16,16.0,0,55.0,1.0,Finished,51,9,6041600,01:42.4,195.263,22,14,0.0,1987,German
244803,807,348.0,12.0,11.0,2010.0,2010-08-01,Hungarian Grand Prix,10,10.0,6,6,6.0,8,70.0,1.0,Finished,66,7,6142294,01:24.2,187.302,10,15,0.0,1987,German
244869,17,35.0,18.0,18.0,2008.0,2008-11-02,Brazilian Grand Prix,12,12.0,9,9,9.0,0,71.0,1.0,Finished,40,14,5731101,01:15.0,206.741,21,11,0.0,1976,Australian
244940,17,37.0,2.0,2.0,2007.0,2007-04-08,Malaysian Grand Prix,10,10.0,10,10,10.0,0,56.0,1.0,Finished,55,14,5628486,01:38.5,202.504,0,12,0.0,1976,Australian
244996,17,39.0,4.0,4.0,2007.0,2007-05-13,Spanish Grand Prix,19,19.0,,R,21.0,0,7.0,9.0,Mechanical,4,21,,01:26.3,194.131,0,16,0.0,1976,Australian
245015,807,350.0,14.0,14.0,2010.0,2010-09-12,Italian Grand Prix,8,8.0,7,7,7.0,6,53.0,1.0,Finished,52,7,4617384,01:24.6,246.58,16,14,0.0,1987,German
245073,807,351.0,15.0,15.0,2010.0,2010-09-26,Singapore Grand Prix,12,17.0,10,10,10.0,1,61.0,1.0,Finished,45,13,7206370,01:52.2,162.751,17,14,0.0,1987,German
245139,807,867.0,8.0,12.0,2012.0,2012-06-24,European Grand Prix,8,8.0,5,5,5.0,10,57.0,1.0,Finished,40,13,6276642,01:44.2,187.174,17,14,0.0,1987,German
245210,807,868.0,9.0,9.0,2012.0,2012-07-08,British Grand Prix,9,14.0,12,12,12.0,0,52.0,1.0,Finished,37,13,5159144,01:36.0,220.956,17,16,0.0,1987,German
245250,807,874.0,15.0,22.0,2012.0,2012-10-07,Japanese Grand Prix,10,15.0,7,7,7.0,6,53.0,1.0,Finished,46,14,5387401,01:37.9,213.453,37,14,0.0,1987,German
245261,807,882.0,3.0,17.0,2013.0,2013-04-14,Chinese Grand Prix,10,10.0,10,10,10.0,1,56.0,1.0,Finished,31,12,5843543,01:40.6,195.007,5,13,0.0,1987,German
245274,17,45.0,10.0,20.0,2007.0,2007-07-22,European Grand Prix,6,6.0,3,3,3.0,6,60.0,1.0,Finished,29,8,7652032,01:34.4,196.22,8,10,0.0,1976,Australian
245330,807,886.0,7.0,7.0,2013.0,2013-06-09,Canadian Grand Prix,11,9.0,,R,21.0,0,45.0,4.0,Accident,40,18,,01:19.1,198.588,5,15,0.0,1987,German
