driverId,year,dstnd_points,results_laps,wins,res_1,res_2,res_3,res_4,res_5,res_6,res_7,res_8,res_9,res_10,res_11,res_12,res_13,res_14,res_15,res_16,res_17,res_18,res_19,res_20,res_21,res_22,res_23,res_24,grid_1,grid_2,grid_3,grid_4,grid_5,grid_6,grid_7,grid_8,grid_9,grid_10,grid_11,grid_12,grid_13,grid_14,grid_15,grid_16,grid_17,grid_18,grid_19,grid_20,grid_21,grid_22,grid_23,grid_24,races
8,2015.0,150.0,964.0,0.0,0,1,2,5,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2016.0,186.0,1094.0,0.0,0,2,2,4,3,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2017.0,205.0,1011.0,0.0,0,2,5,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2018.0,251.0,1116.0,1.0,1,3,8,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2019.0,43.0,1224.0,0.0,0,0,0,1,0,0,3,2,2,1,1,2,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,3,2,3,1,1,2,0,0,0,0,0,0,0,0
8,2020.0,4.0,1009.0,0.0,0,0,0,0,0,0,0,0,2,0,2,3,1,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0
8,2021.0,10.0,1061.0,0.0,0,0,0,0,0,0,0,2,0,2,3,3,2,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,3,2,0,3,2,0,0,0,0,0,0,0
9,2006.0,6.0,289.0,0.0,0,0,1,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2007.0,39.0,865.0,0.0,0,0,0,3,4,1,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,2,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2008.0,75.0,1037.0,1.0,1,3,3,2,1,2,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,3,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
