"driverId","raceId","grid","results_position","positionText","positionOrder","results_points","results_laps","fastestLap","rank","race_ms","results_fastestlaptime","fastestLapSpeed","statusId","status"
15,31,7,"13","13",13,"0",53,"52","15","5273448","01:30.9","229.544",1,"Finished"
3,31,5,"14","14",14,"0",53,"53","10","5276129","01:30.0","231.671",1,"Finished"
18,31,19,"15","15",15,"0",53,"52","7","5280864","01:29.8","232.166",1,"Finished"
21,231,16,"8","8",8,"0",67,NULL,NULL,NULL,NULL,NULL,12,">+1 Laps"
14,232,7,"6","6",6,"1",71,NULL,NULL,NULL,NULL,NULL,11,"+1 Lap"
44,232,9,"7","7",7,"0",71,NULL,NULL,NULL,NULL,NULL,11,"+1 Lap"
84,232,8,"8","8",8,"0",71,NULL,NULL,NULL,NULL,NULL,11,"+1 Lap"
22,232,10,"9","9",9,"0",71,NULL,NULL,NULL,NULL,NULL,11,"+1 Lap"
4,32,15,"1","1",1,"10",61,"55","3","7036304","01:45.8","172.464",1,"Finished"
3,32,8,"2","2",2,"8",61,"39","5","7039261","01:46.5","171.352",1,"Finished"
1,32,2,"3","3",3,"6",61,"14","4","7042221","01:46.1","171.969",1,"Finished"
